net,length_um
u_ibex_top.u_ibex_core.alu_adder_result_ex\[24\],392.715µm
net514,392.28µm
_02255_,391.56µm
_05493_,388.71µm
_06101_,387.91µm
net1623,387.695µm
net930,387.36µm
net1255,387.24µm
net485,386.83µm
_06680_,385.76µm
_07087_,385.69µm
_06988_,385.41µm
net502,385.375µm
net951,384.995µm
net486,384.04µm
net2110,383.61µm
net1768,383.03µm
_07719_,382.96µm
net2107,382.78µm
net428,382.49µm
net1289,381.585µm
net1779,381.585µm
net1365,381.25µm
_06822_,380.86µm
net1860,380.515µm
net1918,380.34µm
_06450_,380.18µm
clknet_5_17__leaf_u_ibex_top.clk,380.12µm
_06155_,380.04µm
net877,378.705µm
net2125,378.4µm
net1144,378.02µm
net2282,377.66µm
net1344,377.605µm
net524,377.07µm
net934,376.94µm
net927,376.62µm
net490,375.97µm
net1290,375.67µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[37\],375.66µm
net1858,374.99µm
net1256,374.44µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_i\[3\],373.98µm
net2688,373.94µm
net2685,373.7µm
net526,373.6µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[38\],373.085µm
_07582_,372.84µm
net190,372.77µm
net617,371.6µm
_06223_,371.59µm
net1761,371.58µm
net1467,371.545µm
net1928,371.435µm
net939,371.3µm
net2201,371.06µm
net532,370.28µm
net1772,369.74µm
net620,369.45µm
net1851,369.2µm
net2171,368.85µm
net1287,368.795µm
net1655,368.09µm
_06644_,367.82µm
net2115,367.69µm
net1784,367.21µm
net1021,366.93µm
net1944,366.89µm
net1115,366.645µm
net1158,366.48µm
net1925,365.96µm
net990,365.88µm
_06832_,365.39µm
net629,365.25µm
net847,364.35µm
net1666,364.2µm
net823,364.12µm
net1263,363.58µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[16\],363.02µm
net931,363.02µm
net2185,362.6µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_i\[0\],362.315µm
_08481_,362.3µm
net1844,362.01µm
net2127,361.47µm
net493,361.29µm
net2088,361.17µm
net1677,360.89µm
net488,359.785µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[53\],358.82µm
_06276_,358.49µm
_06679_,358.44µm
clknet_5_7__leaf_u_ibex_top.clk,357.94µm
net1808,357.89µm
net594,357.44µm
_08810_,357.26µm
net2314,356.9µm
_08002_,356.65µm
net1719,355.38µm
net732,355.36µm
net952,354.76µm
_06397_,354.58µm
_05679_,354.53µm
net1282,354.475µm
net1703,354.46µm
net938,354.26µm
net1347,353.39µm
net1167,353.34µm
net503,353.13µm
u_ibex_top.gen_regfile_ff.register_file_i.raddr_a_i\[3\],353.12µm
net1559,352.95µm
net522,352.87µm
net1093,352.665µm
net824,352.03µm
_06827_,351.88µm
_06950_,351.23µm
_09408_,351.18µm
net363,350.79µm
net1644,350.61µm
_03921_,350.46µm
net694,350.3µm
net699,349.83µm
_08503_,349.8µm
_04200_,349.6µm
net2031,349.58µm
net881,349.56µm
_07216_,349.54µm
net540,349.15µm
net536,347.95µm
net79,347.62µm
_06094_,347.56µm
net605,347.51µm
_08232_,347.2µm
_08280_,347.08µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_i\[6\],346.54µm
net491,346.505µm
_07048_,346.24µm
net649,346.04µm
_09195_,345.96µm
net1478,345.93µm
_03944_,345.9µm
net749,345.74µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_i\[1\],345.64µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[7\],345.085µm
net639,345.06µm
u_ibex_top.u_ibex_core.id_stage_i.decoder_i.illegal_c_insn_i,344.84µm
u_ibex_top.u_ibex_core.alu_adder_result_ex\[5\],344.595µm
net1204,344.32µm
net691,343.74µm
net710,343.64µm
net1229,343.56µm
_08234_,343.52µm
