net,length_um
u_ibex_top.crash_dump_o\[25\],29.52µm
net1120,29.52µm
_06001_,29.48µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[20\].rf_reg_q\[31\],29.46µm
_06219_,29.42µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[8\].rf_reg_q\[7\],29.42µm
net888,29.42µm
net2186,29.42µm
_04783_,29.4µm
_08636_,29.38µm
_02208_,29.36µm
_02351_,29.36µm
_05872_,29.36µm
_01985_,29.32µm
_04613_,29.32µm
_05189_,29.32µm
_08482_,29.32µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[30\].rf_reg_q\[19\],29.315µm
net2321,29.265µm
_04763_,29.26µm
_05209_,29.26µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_compressed_i\[13\],29.26µm
net946,29.26µm
_07311_,29.24µm
_08153_,29.24µm
_08758_,29.22µm
_08514_,29.16µm
_06008_,29.14µm
_02682_,29.1µm
_07602_,29.1µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[23\].rf_reg_q\[22\],29.08µm
u_ibex_top.crash_dump_o\[43\],29.045µm
_07831_,29.04µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[17\].rf_reg_q\[9\],29.04µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[31\].rf_reg_q\[27\],29.04µm
_04243_,29µm
net158,28.98µm
_05007_,28.96µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_depc_o\[5\],28.96µm
_04273_,28.94µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[13\].rf_reg_q\[6\],28.94µm
_03507_,28.9µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[17\].rf_reg_q\[20\],28.9µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[16\].rf_reg_q\[9\],28.88µm
u_ibex_top.crash_dump_o\[109\],28.87µm
_01974_,28.86µm
_07809_,28.86µm
_02297_,28.84µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[23\].rf_reg_q\[19\],28.84µm
_07432_,28.82µm
_02395_,28.78µm
_07495_,28.78µm
_06260_,28.755µm
_03363_,28.705µm
_03279_,28.7µm
_05276_,28.7µm
_06388_,28.7µm
_06781_,28.68µm
u_ibex_top.u_ibex_core.cs_registers_i.mcounteren\[0\],28.665µm
u_ibex_top.u_ibex_core.load_store_unit_i.rdata_q\[28\],28.665µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[12\].rf_reg_q\[3\],28.66µm
u_ibex_top.u_ibex_core.cs_registers_i.mcycle_counter_i.counter\[53\],28.66µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[26\].rf_reg_q\[26\],28.65µm
_05873_,28.62µm
_08829_,28.62µm
_03437_,28.58µm
_05242_,28.58µm
u_ibex_top.u_ibex_core.cs_registers_i.mcycle_counter_i.counter\[42\],28.58µm
_04404_,28.56µm
_05138_,28.54µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[28\].rf_reg_q\[7\],28.54µm
_04774_,28.52µm
_03216_,28.48µm
_05057_,28.48µm
_09289_,28.48µm
_09745_,28.48µm
_03394_,28.46µm
_03831_,28.46µm
_02479_,28.455µm
_04067_,28.44µm
_07978_,28.44µm
_02705_,28.42µm
_03593_,28.4µm
_07728_,28.38µm
net2568,28.34µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[21\].rf_reg_q\[14\],28.32µm
_02541_,28.3µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[15\].rf_reg_q\[27\],28.3µm
_03166_,28.28µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[7\].rf_reg_q\[21\],28.28µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1906\],28.28µm
_06702_,28.26µm
_08650_,28.26µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[11\].rf_reg_q\[15\],28.26µm
_09477_,28.25µm
_01984_,28.22µm
_03128_,28.22µm
_04552_,28.22µm
_07208_,28.22µm
_07490_,28.22µm
_09671_,28.22µm
_03957_,28.2µm
_05725_,28.2µm
u_ibex_top.crash_dump_o\[57\],28.165µm
_04631_,28.14µm
_02053_,28.12µm
_07625_,28.12µm
_04006_,28.1µm
_06160_,28.1µm
_03698_,28.08µm
_09576_,28.08µm
u_ibex_top.crash_dump_o\[73\],28.04µm
net2424,28.03µm
_06502_,28.02µm
u_ibex_top.crash_dump_o\[111\],28.02µm
_05324_,28µm
_05626_,28µm
_04603_,27.98µm
_04780_,27.98µm
_09649_,27.98µm
_07022_,27.96µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[29\].rf_reg_q\[11\],27.96µm
_02828_,27.94µm
_08647_,27.94µm
net4293,27.94µm
_06767_,27.92µm
_03955_,27.9µm
u_ibex_top.u_ibex_core.cs_registers_i.mcycle_counter_i.counter\[57\],27.9µm
net1328,27.9µm
_06626_,27.84µm
_03225_,27.82µm
net2149,27.82µm
_04002_,27.8µm
u_ibex_top.u_ibex_core.cs_registers_i.mcycle_counter_i.counter\[8\],27.8µm
_09619_,27.75µm
_07364_,27.74µm
u_ibex_top.crash_dump_o\[123\],27.74µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[31\].rf_reg_q\[12\],27.72µm
_02921_,27.7µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[30\].rf_reg_q\[8\],27.7µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1879\],27.7µm
_06675_,27.68µm
_02398_,27.64µm
u_ibex_top.crash_dump_o\[11\],27.64µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[29\].rf_reg_q\[1\],27.63µm
_04324_,27.62µm
_03649_,27.6µm
_06838_,27.56µm
_09548_,27.56µm
_02313_,27.54µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[13\].rf_reg_q\[0\],27.54µm
clknet_0_clk_i,27.52µm
_07609_,27.48µm
_04182_,27.46µm
_09360_,27.46µm
_08478_,27.44µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1900\],27.44µm
_06553_,27.42µm
_07878_,27.42µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[20\].rf_reg_q\[8\],27.42µm
_07642_,27.36µm
net177,27.36µm
_04171_,27.34µm
_05379_,27.33µm
_02221_,27.32µm
_07438_,27.31µm
_03632_,27.29µm
_02464_,27.28µm
_02101_,27.26µm
_04270_,27.26µm
_07170_,27.26µm
_08467_,27.26µm
u_ibex_top.u_ibex_core.cs_registers_i.mie_q\[5\],27.26µm
_05424_,27.24µm
_06482_,27.2µm
_06560_,27.2µm
_06973_,27.2µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[8\].rf_reg_q\[26\],27.2µm
_07682_,27.18µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[17\].rf_reg_q\[18\],27.18µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch0_q\[29\],27.18µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1903\],27.18µm
_07338_,27.16µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[30\].rf_reg_q\[31\],27.16µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1878\],27.16µm
_04764_,27.14µm
_06192_,27.14µm
_04755_,27.1µm
_06819_,27.1µm
_08201_,27.1µm
_09189_,27.1µm
_02648_,27.06µm
net2237,27.04µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.div_by_zero_q,27.035µm
_02040_,27.02µm
_03495_,27.02µm
_06124_,27.02µm
u_ibex_top.u_ibex_core.cs_registers_i.mie_q\[4\],27.02µm
_04940_,27.005µm
_05931_,27µm
_08154_,27µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1897\],26.98µm
_06111_,26.94µm
_07603_,26.94µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[7\].rf_reg_q\[12\],26.94µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1884\],26.94µm
_02187_,26.92µm
_07817_,26.9µm
_09074_,26.9µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[17\].rf_reg_q\[15\],26.9µm
_03105_,26.89µm
_05863_,26.88µm
_07725_,26.88µm
_07959_,26.86µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[17\].rf_reg_q\[31\],26.86µm
_05645_,26.84µm
_07421_,26.84µm
net2440,26.83µm
u_ibex_top.crash_dump_o\[108\],26.82µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[6\].rf_reg_q\[11\],26.82µm
_08956_,26.8µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[19\].rf_reg_q\[18\],26.8µm
_03110_,26.78µm
_04226_,26.78µm
_08057_,26.78µm
_06556_,26.76µm
_05682_,26.74µm
_08542_,26.74µm
_08814_,26.74µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[11\].rf_reg_q\[3\],26.73µm
_02054_,26.72µm
_04088_,26.68µm
_07518_,26.68µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[23\].rf_reg_q\[25\],26.66µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[29\].rf_reg_q\[14\],26.66µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[24\].rf_reg_q\[17\],26.64µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[22\].rf_reg_q\[8\],26.63µm
_08185_,26.62µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[15\].rf_reg_q\[24\],26.615µm
_06127_,26.6µm
_07963_,26.6µm
_07061_,26.56µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[30\].rf_reg_q\[9\],26.56µm
_07621_,26.54µm
_08039_,26.54µm
net795,26.54µm
_06918_,26.515µm
_06459_,26.5µm
u_ibex_top.crash_dump_o\[118\],26.5µm
_04307_,26.48µm
_06814_,26.48µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[12\].rf_reg_q\[30\],26.48µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[1\].rf_reg_q\[31\],26.48µm
_03595_,26.46µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1872\],26.46µm
_03789_,26.44µm
u_ibex_top.crash_dump_o\[98\],26.44µm
_04401_,26.4µm
_08958_,26.4µm
_09675_,26.39µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[10\].rf_reg_q\[24\],26.38µm
u_ibex_top.u_ibex_core.cs_registers_i.mcycle_counter_i.counter\[26\],26.38µm
net870,26.38µm
_05765_,26.36µm
_09029_,26.36µm
_06473_,26.34µm
_08631_,26.34µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[31\].rf_reg_q\[22\],26.34µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1892\],26.34µm
u_ibex_top.crash_dump_o\[22\],26.28µm
clknet_0_clk_i_regs,26.28µm
net2655,26.26µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[25\].rf_reg_q\[8\],26.24µm
_06120_,26.22µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[26\].rf_reg_q\[2\],26.22µm
_06869_,26.2µm
_09004_,26.18µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[31\].rf_reg_q\[19\],26.16µm
_05340_,26.15µm
u_ibex_top.u_ibex_core.cs_registers_i.mcycle_counter_i.counter\[32\],26.15µm
_03254_,26.145µm
_05149_,26.145µm
_08013_,26.14µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[30\].rf_reg_q\[10\],26.14µm
_03777_,26.12µm
_09031_,26.12µm
net176,26.12µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[17\].rf_reg_q\[14\],26.12µm
net2536,26.11µm
_06017_,26.1µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_depc_o\[11\],26.065µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[26\].rf_reg_q\[19\],26.06µm
_05501_,26.04µm
_09635_,26µm
_08170_,25.98µm
_01949_,25.96µm
_03415_,25.96µm
_05346_,25.96µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[18\].rf_reg_q\[20\],25.96µm
_05366_,25.94µm
_08107_,25.94µm
_08609_,25.94µm
_08946_,25.94µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[19\].rf_reg_q\[6\],25.94µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[31\].rf_reg_q\[0\],25.94µm
_02265_,25.9µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[19\].rf_reg_q\[16\],25.9µm
_00008_,25.88µm
_04723_,25.88µm
_08879_,25.88µm
_09546_,25.88µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1890\],25.87µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[1\].rf_reg_q\[15\],25.86µm
_05508_,25.845µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1883\],25.84µm
net166,25.82µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[10\].rf_reg_q\[14\],25.82µm
_02528_,25.81µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[18\].rf_reg_q\[26\],25.78µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch0_q\[28\],25.76µm
u_ibex_top.u_ibex_core.load_store_unit_i.rdata_q\[24\],25.74µm
_05555_,25.72µm
_08675_,25.72µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[7\].rf_reg_q\[23\],25.72µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_quotient_q\[21\],25.72µm
net3767,25.72µm
_04114_,25.7µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[23\].rf_reg_q\[3\],25.7µm
u_ibex_top.u_ibex_core.cs_registers_i.mcycle_counter_i.counter\[12\],25.7µm
_04448_,25.68µm
_04837_,25.68µm
_05135_,25.68µm
_07485_,25.68µm
_08876_,25.68µm
u_ibex_top.crash_dump_o\[72\],25.68µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[31\].rf_reg_q\[17\],25.68µm
_07563_,25.67µm
_04963_,25.64µm
_09298_,25.64µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[27\].rf_reg_q\[18\],25.64µm
_08158_,25.62µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[20\].rf_reg_q\[14\],25.62µm
_04355_,25.6µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[25\].rf_reg_q\[17\],25.6µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[25\].rf_reg_q\[9\],25.6µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[5\].rf_reg_q\[3\],25.6µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[9\].rf_reg_q\[30\],25.6µm
_02139_,25.58µm
_05345_,25.58µm
_07975_,25.56µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[2\].rf_reg_q\[15\],25.545µm
_05592_,25.54µm
_06634_,25.53µm
_02459_,25.52µm
_05745_,25.52µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[25\].rf_reg_q\[31\],25.52µm
_01947_,25.5µm
_05814_,25.48µm
_06776_,25.48µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_mtvec_o\[22\],25.44µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch1_q\[30\],25.44µm
_04959_,25.42µm
_04254_,25.4µm
_05084_,25.385µm
_02415_,25.38µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[16\].rf_reg_q\[20\],25.38µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[16\].rf_reg_q\[26\],25.38µm
net2152,25.38µm
_04736_,25.34µm
_07750_,25.34µm
_02480_,25.32µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[10\].rf_reg_q\[23\],25.32µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[1\].rf_reg_q\[27\],25.305µm
net2262,25.3µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[18\].rf_reg_q\[6\],25.28µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[18\].rf_reg_q\[7\],25.28µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[9\].rf_reg_q\[3\],25.28µm
_06345_,25.275µm
_02015_,25.26µm
_02197_,25.26µm
_05907_,25.24µm
net175,25.24µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[2\].rf_reg_q\[18\],25.24µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[7\].rf_reg_q\[14\],25.24µm
_04271_,25.22µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[13\].rf_reg_q\[5\],25.22µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[21\].rf_reg_q\[26\],25.22µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_mtvec_o\[25\],25.22µm
_04298_,25.2µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[13\].rf_reg_q\[24\],25.2µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[31\].rf_reg_q\[16\],25.2µm
_07184_,25.18µm
_04887_,25.16µm
_06535_,25.16µm
_08488_,25.15µm
_02456_,25.14µm
_05623_,25.13µm
_06821_,25.12µm
_07765_,25.12µm
_04604_,25.1µm
_05409_,25.1µm
_02363_,25.08µm
net2027,25.08µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[4\].rf_reg_q\[18\],25.06µm
net2058,25.03µm
_05431_,25.02µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[25\].rf_reg_q\[27\],25µm
_04329_,24.985µm
net167,24.98µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[9\].rf_reg_q\[19\],24.98µm
_04301_,24.97µm
_02235_,24.96µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[18\].rf_reg_q\[8\],24.94µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[30\].rf_reg_q\[14\],24.94µm
_05815_,24.92µm
_07358_,24.92µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[28\].rf_reg_q\[10\],24.92µm
_02038_,24.88µm
_05210_,24.88µm
_08134_,24.88µm
_05058_,24.86µm
_08060_,24.86µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[6\].rf_reg_q\[9\],24.86µm
_03209_,24.84µm
_06741_,24.84µm
u_ibex_top.crash_dump_o\[120\],24.84µm
_03238_,24.82µm
_04777_,24.82µm
_06259_,24.82µm
_06946_,24.82µm
_09393_,24.82µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[18\].rf_reg_q\[3\],24.82µm
net2225,24.81µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[13\].rf_reg_q\[11\],24.8µm
_02128_,24.78µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[18\].rf_reg_q\[24\],24.77µm
_04003_,24.76µm
_05447_,24.76µm
_09746_,24.76µm
_02117_,24.7µm
_04493_,24.7µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[19\].rf_reg_q\[22\],24.7µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[5\].rf_reg_q\[12\],24.7µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[6\].rf_reg_q\[6\],24.7µm
net2674,24.7µm
_07272_,24.68µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[9\].rf_reg_q\[13\],24.68µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1898\],24.68µm
net896,24.68µm
_05987_,24.66µm
_06449_,24.66µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[12\].rf_reg_q\[5\],24.66µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[8\].rf_reg_q\[24\],24.66µm
_07797_,24.64µm
_08340_,24.64µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[11\].rf_reg_q\[1\],24.64µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[8\].rf_reg_q\[15\],24.64µm
net4375,24.64µm
_04798_,24.62µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[14\].rf_reg_q\[28\],24.62µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[17\].rf_reg_q\[26\],24.62µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[26\].rf_reg_q\[20\],24.59µm
_04583_,24.58µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[21\].rf_reg_q\[28\],24.58µm
_07320_,24.56µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[30\].rf_reg_q\[22\],24.56µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[7\].rf_reg_q\[30\],24.56µm
_04275_,24.54µm
_06195_,24.54µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[25\].rf_reg_q\[28\],24.54µm
u_ibex_top.u_ibex_core.load_store_unit_i.rdata_q\[26\],24.54µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[31\],24.525µm
_05698_,24.5µm
_06544_,24.5µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[30\].rf_reg_q\[6\],24.49µm
_02088_,24.48µm
_06214_,24.48µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[16\].rf_reg_q\[24\],24.48µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[16\].rf_reg_q\[6\],24.48µm
_06785_,24.46µm
_05899_,24.44µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[14\].rf_reg_q\[16\],24.44µm
net955,24.44µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[2\].rf_reg_q\[31\],24.43µm
_03384_,24.42µm
_06044_,24.42µm
u_ibex_top.crash_dump_o\[84\],24.42µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[3\].rf_reg_q\[4\],24.42µm
_07525_,24.4µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[30\],24.4µm
_02418_,24.38µm
_05341_,24.38µm
_05610_,24.38µm
_05877_,24.38µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[31\].rf_reg_q\[14\],24.345µm
_09060_,24.34µm
_09255_,24.34µm
_09260_,24.34µm
net2534,24.31µm
_06681_,24.3µm
u_ibex_top.crash_dump_o\[104\],24.3µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[19\].rf_reg_q\[25\],24.3µm
_09485_,24.295µm
net336,24.275µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[30\].rf_reg_q\[18\],24.27µm
_09806_,24.26µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[25\].rf_reg_q\[3\],24.26µm
_04292_,24.24µm
_06158_,24.24µm
_06198_,24.22µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[24\].rf_reg_q\[23\],24.22µm
_04546_,24.2µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[2\].rf_reg_q\[28\],24.18µm
_06159_,24.16µm
_06470_,24.16µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[3\].rf_reg_q\[11\],24.16µm
u_ibex_top.u_ibex_core.load_store_unit_i.rdata_q\[31\],24.135µm
_03101_,24.12µm
_08301_,24.12µm
_08341_,24.12µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[25\].rf_reg_q\[14\],24.1µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[4\].rf_reg_q\[13\],24.1µm
_05088_,24.08µm
_07370_,24.08µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[4\].rf_reg_q\[10\],24.08µm
_05660_,24.06µm
net169,24.06µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[16\].rf_reg_q\[22\],24.06µm
_04178_,24.05µm
net2274,24.05µm
_05148_,24.04µm
_07259_,24.04µm
_08900_,24.04µm
_08921_,24.04µm
_04914_,24.02µm
_05334_,24.02µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[20\].rf_reg_q\[9\],24.02µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[26\].rf_reg_q\[23\],24.02µm
_09173_,24.01µm
_02697_,23.98µm
_03160_,23.98µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[28\].rf_reg_q\[15\],23.98µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1870\],23.98µm
_02145_,23.96µm
_08852_,23.96µm
_02240_,23.94µm
_02854_,23.92µm
_04009_,23.92µm
_04641_,23.92µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[23\].rf_reg_q\[28\],23.92µm
u_ibex_top.u_ibex_core.cs_registers_i.mhpmcounter\[1887\],23.92µm
