Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_266_673,VGND,li1,317.8600,734.4000,0.000008
FILLER_266_669,VGND,li1,313.9500,734.4000,0.000008
FILLER_266_657,VGND,li1,310.5000,734.4000,0.000008
FILLER_266_645,VGND,li1,303.1400,734.4000,0.000008
FILLER_266_641,VGND,li1,301.0700,734.4000,0.000008
FILLER_266_629,VGND,li1,297.6200,734.4000,0.000008
FILLER_266_617,VGND,li1,292.1000,734.4000,0.000008
FILLER_266_613,VGND,li1,288.1900,734.4000,0.000008
FILLER_266_601,VGND,li1,284.7400,734.4000,0.000008
FILLER_266_589,VGND,li1,279.2200,734.4000,0.000008
FILLER_266_580,VGND,li1,274.1600,734.4000,0.000008
FILLER_266_569,VGND,li1,267.9500,734.4000,0.000008
FILLER_266_561,VGND,li1,265.4200,734.4000,0.000008
FILLER_266_557,VGND,li1,262.4300,734.4000,0.000008
FILLER_266_545,VGND,li1,258.9800,734.4000,0.000008
FILLER_266_533,VGND,li1,253.4600,734.4000,0.000007
FILLER_266_529,VGND,li1,249.5500,734.4000,0.000007
FILLER_266_517,VGND,li1,246.1000,734.4000,0.000007
FILLER_266_505,VGND,li1,240.5800,734.4000,0.000007
FILLER_266_503,VGND,li1,237.1300,734.4000,0.000007
FILLER_266_489,VGND,li1,231.8400,734.4000,0.000006
FILLER_266_477,VGND,li1,227.7000,734.4000,0.000006
FILLER_266_473,VGND,li1,223.7900,734.4000,0.000006
FILLER_266_461,VGND,li1,220.3400,734.4000,0.000005
FILLER_266_449,VGND,li1,214.8200,734.4000,0.000005
FILLER_266_447,VGND,li1,211.3700,734.4000,0.000005
FILLER_266_441,VGND,li1,209.7600,734.4000,0.000005
FILLER_266_429,VGND,li1,205.6200,734.4000,0.000004
FILLER_266_417,VGND,li1,198.0300,734.4000,0.000004
FILLER_266_405,VGND,li1,194.5800,734.4000,0.000003
FILLER_266_393,VGND,li1,189.0600,734.4000,0.000003
FILLER_266_389,VGND,li1,185.1500,734.4000,0.000002
FILLER_266_377,VGND,li1,181.7000,734.4000,0.000002
